Username,Password,IP_Delay,Base_Delay,Var_Limit,Success,Matches,SimTime,RealTime,AvgTime,Variation
admin,abc123,0,0,0,1,3220,1.0469372272491455,0.0,0.0,0
admin,abc123,0,0,1,1,3220,0.6121170520782471,0.0,0.0,0
admin,abc123,0,0,2,1,3220,0.5739850997924805,0.0,0.0,0
admin,abc123,0,0,3,1,3220,0.5867629051208496,0.0,0.0,0
admin,abc123,0,0,4,1,3220,0.5711839199066162,0.0,0.0,0
admin,abc123,0,0,5,1,3220,0.574246883392334,0.0,0.0,0
admin,abc123,0,0,6,1,3220,0.6019511222839355,0.0,0.0,0
admin,abc123,0,0,7,1,3220,0.5693590641021729,0.0,0.0,0
admin,abc123,0,1728,0,1,3220,0.569939136505127,984.8548278808594,0.30585553660896253,0
admin,abc123,0,1728,1,1,3220,0.5689620971679688,983.16650390625,0.30533121239324534,0
admin,abc123,0,1728,2,1,3220,0.5698580741882324,984.7147521972656,0.3058120348438713,0
admin,abc123,0,1728,3,1,3220,0.569537878036499,984.1614532470703,0.30564020287176097,0
admin,abc123,0,1728,4,1,3220,0.5699095726013184,984.8037414550781,0.30583967125934103,0
admin,abc123,0,1728,5,1,3220,0.5737180709838867,991.3848266601562,0.3078834865404212,0
admin,abc123,0,1728,6,1,3220,0.5776300430297852,998.1447143554688,0.3099828305451766,0
admin,abc123,0,1728,7,1,3220,0.5734131336212158,990.8578948974609,0.30771984313585743,0
admin,abc123,0,3456,0,1,3220,0.5699172019958496,1969.6338500976562,0.6116875310862286,0
admin,abc123,0,3456,1,1,3220,0.569990873336792,1969.8884582519531,0.6117666019416004,0
admin,abc123,0,3456,2,1,3220,0.5684621334075928,1964.6051330566406,0.6101258177194536,0
admin,abc123,0,3456,3,1,3220,0.5699789524078369,1969.8472595214844,0.6117538073048088,0
admin,abc123,0,3456,4,1,3220,0.578671932220459,1999.8901977539062,0.6210839123459336,0
admin,abc123,0,3456,5,1,3220,0.5850348472595215,2021.8804321289062,0.6279131776797845,0
admin,abc123,0,3456,6,1,3220,0.5752949714660645,1988.2194213867188,0.617459447635627,0
admin,abc123,0,3456,7,1,3220,0.5717051029205322,1975.8128356933594,0.6136064707122234,0
admin,abc123,0,5184,0,1,3220,0.5689229965209961,2949.2968139648438,0.9159306875667217,0
admin,abc123,0,5184,1,1,3220,0.5712687969207764,2961.4574432373047,0.9197072805084797,0
admin,abc123,0,5184,2,1,3220,0.5708889961242676,2959.488555908203,0.9190958248162121,0
admin,abc123,0,5184,3,1,3220,0.5673840045928955,2941.3186798095703,0.9134530061520405,0
admin,abc123,0,5184,4,1,3220,0.5680358409881592,2944.697799682617,0.9145024222616823,0
admin,abc123,0,5184,5,1,3220,0.5711410045623779,2960.794967651367,0.9195015427488717,0
admin,abc123,0,5184,6,1,3220,0.570483922958374,2957.388656616211,0.9184436821789475,0
admin,abc123,0,5184,7,1,3220,0.5733468532562256,2972.2300872802734,0.9230528221367309,0
admin,abc123,0,6912,0,1,3220,0.6082921028137207,4204.5150146484375,1.305750004549204,0
admin,abc123,0,6912,1,1,3220,0.570559024810791,3943.7039794921875,1.22475278866217,0
admin,abc123,0,6912,2,1,3220,0.5691120624542236,3933.7025756835938,1.2216467626346565,0
admin,abc123,0,6912,3,1,3220,0.5798661708831787,4008.0349731445312,1.2447313581194197,0
admin,abc123,0,6912,4,1,3220,0.5707268714904785,3944.8641357421875,1.2251130856342196,0
admin,abc123,0,6912,5,1,3220,0.574531078338623,3971.1588134765625,1.2332791346200505,0
admin,abc123,0,6912,6,1,3220,0.5859260559082031,4049.9208984375,1.2577394094526397,0
admin,abc123,0,6912,7,1,3220,0.5841381549835205,4037.5629272460938,1.2539015302006502,0
admin,abc123,0,8640,0,1,3220,0.5737380981445312,4957.09716796875,1.5394711701766304,0
admin,abc123,0,8640,1,1,3220,0.5699319839477539,4924.212341308594,1.5292584910896254,0
admin,abc123,0,8640,2,1,3220,0.571584939956665,4938.493881225586,1.5336937519334117,0
